Company,Date,high_mean,low_mean,adj_close_mean,volume_mean
NKE,2021-09-02,165.429993,162.789993,159.008942,4632100.0
NKE,2021-09-03,164.169998,162.220001,158.639725,4254500.0
NKE,2021-09-07,163.860001,161.910004,158.008224,5648800.0
NKE,2021-09-08,162.089996,159.75,156.13324,6591700.0
NKE,2021-09-09,166.149994,163.199997,158.688278,8414800.0
NKE,2021-09-10,165.660004,163.440002,158.931198,4252100.0
NKE,2021-09-13,162.919998,158.330002,154.977112,8814500.0
NKE,2021-09-14,159.389999,157.070007,154.238739,5323900.0
NKE,2021-09-15,158.320007,155.669998,153.412964,6827100.0
NKE,2021-09-16,159.009995,157.199997,153.111786,5085900.0
NKE,2021-09-17,161.0,156.070007,151.965393,7944800.0
NKE,2021-09-20,155.270004,152.320007,149.857178,7041200.0
NKE,2021-09-21,156.130005,153.580002,150.605255,5857900.0
NKE,2021-09-22,158.0,155.600006,152.956345,6844800.0
NKE,2021-09-23,160.289993,158.270004,155.035385,11981500.0
NKE,2021-09-24,151.850006,148.0,145.32988,26913300.0
NKE,2021-09-27,149.910004,147.289993,143.824036,11479300.0
NKE,2021-09-28,147.529999,145.0,141.162079,10692300.0
NKE,2021-09-29,147.940002,145.690002,141.861557,7794900.0
NKE,2021-09-30,147.479996,144.419998,141.09407,10133600.0
NKE,2021-10-01,148.0,144.369995,142.871964,8112300.0
NKE,2021-10-04,147.619995,145.759995,142.949677,7951000.0
NKE,2021-10-05,151.0,147.820007,145.203598,10881900.0
NKE,2021-10-06,149.460007,147.509995,144.562408,7610700.0
NKE,2021-10-07,153.660004,150.259995,147.525558,7958000.0
NKE,2021-10-08,152.869995,150.669998,148.137604,6333700.0
NKE,2021-10-11,153.589996,150.059998,146.000229,5551200.0
NKE,2021-10-12,153.600006,151.300003,148.982819,7408600.0
NKE,2021-10-13,156.669998,153.160004,151.848816,8456300.0
NKE,2021-10-14,158.460007,156.25,152.664871,6024500.0
NKE,2021-10-15,158.330002,156.559998,153.510101,5532100.0
NKE,2021-10-18,159.470001,155.949997,154.889648,5765300.0
NKE,2021-10-19,159.929993,156.800003,153.3255,6198200.0
NKE,2021-10-20,158.800003,157.320007,153.937561,4487000.0
NKE,2021-10-21,162.339996,158.279999,157.561356,6121700.0
NKE,2021-10-22,164.619995,162.279999,158.824326,5323000.0
NKE,2021-10-25,164.729996,162.660004,159.543259,3878200.0
NKE,2021-10-26,165.449997,163.119995,159.125504,4711200.0
NKE,2021-10-27,164.059998,161.660004,157.726517,4163900.0
NKE,2021-10-28,164.600006,162.809998,159.776428,3762000.0
NKE,2021-10-29,167.630005,163.0,162.525833,6740600.0
NKE,2021-11-01,168.800003,165.889999,161.593185,3610800.0
NKE,2021-11-02,168.160004,166.110001,163.050461,5038000.0
NKE,2021-11-03,172.869995,168.649994,167.587448,7176700.0
NKE,2021-11-04,175.630005,172.0,170.443726,5460100.0
NKE,2021-11-05,179.100006,175.5,172.454758,5892200.0
NKE,2021-11-08,176.539993,170.360001,166.955978,8301100.0
NKE,2021-11-09,173.929993,170.949997,168.869888,4343000.0
NKE,2021-11-10,172.169998,167.550003,163.468185,8185200.0
NKE,2021-11-11,169.600006,166.630005,162.214935,4994900.0
NKE,2021-11-12,169.679993,167.399994,164.274567,5126300.0
NKE,2021-11-15,170.360001,168.520004,164.041428,3856700.0
NKE,2021-11-16,174.0,169.25,166.936539,4401000.0
NKE,2021-11-17,172.740005,170.25,166.849106,3940200.0
NKE,2021-11-18,173.460007,170.360001,166.470184,4044200.0
NKE,2021-11-19,177.199997,170.529999,169.899689,6145600.0
NKE,2021-11-22,177.75,174.229996,169.277908,5906400.0
NKE,2021-11-23,173.429993,170.410004,167.247406,5302100.0
NKE,2021-11-24,172.429993,167.669998,167.130829,4637600.0
NKE,2021-11-26,169.679993,167.539993,163.235031,4751100.0
NKE,2021-11-29,171.149994,169.229996,165.032364,5448700.0
NKE,2021-11-30,171.550003,167.529999,164.420319,11033700.0
NKE,2021-12-01,173.369995,166.679993,161.952606,6618200.0
NKE,2021-12-02,170.550003,167.0,165.15863,4398900.0
NKE,2021-12-03,172.070007,166.759995,165.689072,4878500.0
NKE,2021-12-06,171.210007,168.059998,164.394638,5636900.0
NKE,2021-12-07,173.350006,170.399994,166.711014,5898700.0
NKE,2021-12-08,171.789993,169.839996,165.698807,5614400.0
NKE,2021-12-09,171.169998,167.990005,163.606277,5171600.0
NKE,2021-12-10,170.240005,167.330002,164.540634,4791100.0
NKE,2021-12-13,169.389999,165.259995,162.379944,5972300.0
NKE,2021-12-14,167.080002,164.210007,160.978439,4872200.0
NKE,2021-12-15,165.669998,161.820007,159.518524,7144600.0
NKE,2021-12-16,165.940002,162.529999,158.370102,7138100.0
NKE,2021-12-17,162.860001,160.550003,157.046448,7705100.0
NKE,2021-12-20,159.600006,155.470001,152.783554,8411900.0
NKE,2021-12-21,171.190002,164.710007,162.175583,13862900.0
NKE,2021-12-22,169.0,164.089996,161.01738,5811300.0
NKE,2021-12-23,167.160004,165.440002,161.241257,3876900.0
NKE,2021-12-27,167.690002,165.479996,163.100174,3769300.0
NKE,2021-12-28,168.25,166.300003,161.971191,2658600.0
NKE,2021-12-29,169.800003,166.600006,164.268127,3830900.0
NKE,2021-12-30,170.119995,167.199997,163.012589,2666800.0
NKE,2021-12-31,167.720001,166.210007,162.214523,2752000.0
NKE,2022-01-03,167.910004,163.309998,160.26796,5670500.0
NKE,2022-01-04,167.179993,165.0,161.942001,6064200.0
NKE,2022-01-05,167.009995,162.100006,157.912674,5021000.0
NKE,2022-01-06,163.190002,159.059998,156.735016,4144600.0
NKE,2022-01-07,161.139999,156.860001,152.773834,5108000.0
NKE,2022-01-10,151.330002,148.779999,146.418381,10439000.0
NKE,2022-01-11,150.839996,147.600006,146.28212,8175400.0
NKE,2022-01-12,153.460007,150.740005,148.141052,6351200.0
NKE,2022-01-13,153.600006,149.020004,145.591095,4990900.0
NKE,2022-01-14,148.839996,146.850006,144.218796,6030500.0
NKE,2022-01-18,148.830002,146.300003,143.021683,6931000.0
NKE,2022-01-19,149.100006,145.020004,141.230865,4823800.0
NKE,2022-01-20,147.380005,142.5,138.914474,5366500.0
NKE,2022-01-21,146.360001,142.850006,139.128586,7553400.0
NKE,2022-01-24,146.309998,139.559998,142.097076,9733200.0
NKE,2022-01-25,147.960007,142.509995,141.590958,8195400.0
